test case,benchmark name,samples,iterations,estimated,mean,low mean,high mean,std dev,low std dev,high std dev,tags,raw
building command- and instruction graphs in a dedicated scheduler thread for N nodes - 1 > reference: throttled single-threaded graph generation at 10 us per task,soup topology,100,1,256961900,2552925.6000,2524921.6900,2577155.0000,133151.2396,117617.1802,144541.3426,"benchmark,group:scheduler","2326491.0000,2342812.0000,2647540.0000,2651908.0000,2628554.0000,2632401.0000,2642390.0000,2623975.0000,2637250.0000,2628283.0000,2635417.0000,2630688.0000,2635637.0000,2634174.0000,2638984.0000,2626540.0000,2636308.0000,2623394.0000,2644814.0000,2632071.0000,2640496.0000,2629486.0000,2634264.0000,2632551.0000,2641248.0000,2626380.0000,2629625.0000,2644403.0000,2630317.0000,2634324.0000,2635406.0000,2633774.0000,2642931.0000,2632221.0000,2635066.0000,2636439.0000,2640236.0000,2627762.0000,2632220.0000,2622373.0000,2637871.0000,2645877.0000,2635407.0000,2626069.0000,2635457.0000,2627952.0000,2638091.0000,2632441.0000,2634385.0000,2629225.0000,2637621.0000,2631740.0000,2642580.0000,2619567.0000,2636900.0000,2631740.0000,2633092.0000,2632932.0000,2630077.0000,2634074.0000,2637230.0000,2623975.0000,2633814.0000,2633593.0000,2635588.0000,2626409.0000,2638102.0000,2629796.0000,2635537.0000,2629365.0000,2638172.0000,2627592.0000,2639906.0000,2621159.0000,2627733.0000,2389831.0000,2324377.0000,2321571.0000,2324578.0000,2327102.0000,2346328.0000,2343203.0000,2331410.0000,2326832.0000,2323665.0000,2331260.0000,2332513.0000,2337802.0000,2330809.0000,2334476.0000,2332522.0000,2327914.0000,2341720.0000,2335909.0000,2324617.0000,2339185.0000,2331170.0000,2329156.0000,2339105.0000,2333283.0000"
building command- and instruction graphs in a dedicated scheduler thread for N nodes - 1 > reference: throttled single-threaded graph generation at 10 us per task,chain topology,100,1,36809900,380551.1400,380218.6600,381107.5600,2147.0641,1527.7837,3560.2569,"benchmark,group:scheduler","379237.0000,384247.0000,384597.0000,380170.0000,380289.0000,380560.0000,380360.0000,380379.0000,379729.0000,384998.0000,380209.0000,379218.0000,384317.0000,379909.0000,385519.0000,379999.0000,379598.0000,383606.0000,380169.0000,379578.0000,383245.0000,379609.0000,384918.0000,379558.0000,380289.0000,383666.0000,379428.0000,379348.0000,382093.0000,379337.0000,380400.0000,379438.0000,379909.0000,379477.0000,379678.0000,384056.0000,380460.0000,379318.0000,383606.0000,379317.0000,379538.0000,383185.0000,379548.0000,379478.0000,379759.0000,379518.0000,379999.0000,379397.0000,379248.0000,379708.0000,379067.0000,379517.0000,379718.0000,378977.0000,380580.0000,379277.0000,379488.0000,381231.0000,379397.0000,379839.0000,379909.0000,379187.0000,379728.0000,379458.0000,379969.0000,379528.0000,379157.0000,379818.0000,379548.0000,379558.0000,381261.0000,379467.0000,380180.0000,379578.0000,379327.0000,379739.0000,379888.0000,379417.0000,380200.0000,379397.0000,379688.0000,379628.0000,379628.0000,379999.0000,379819.0000,384357.0000,379758.0000,379478.0000,384217.0000,379688.0000,380058.0000,381962.0000,379628.0000,379527.0000,379718.0000,379177.0000,394537.0000,379828.0000,379889.0000,379909.0000"
building command- and instruction graphs in a dedicated scheduler thread for N nodes - 1 > reference: throttled single-threaded graph generation at 10 us per task,expanding tree topology,100,1,44530200,445712.2600,445181.2200,446341.2500,2935.6769,2559.4200,3506.0730,"benchmark,group:scheduler","442587.0000,448418.0000,450803.0000,450964.0000,443619.0000,446696.0000,443589.0000,450844.0000,444471.0000,444271.0000,444621.0000,444321.0000,453398.0000,444371.0000,445584.0000,443509.0000,450923.0000,443931.0000,444591.0000,444241.0000,443569.0000,449842.0000,443228.0000,456073.0000,442968.0000,447807.0000,444571.0000,451204.0000,443239.0000,443359.0000,446074.0000,443840.0000,445012.0000,443860.0000,450352.0000,444260.0000,443980.0000,444351.0000,443058.0000,449471.0000,443770.0000,447056.0000,443359.0000,445183.0000,443008.0000,450162.0000,443349.0000,442949.0000,445853.0000,443569.0000,445303.0000,444461.0000,450473.0000,444661.0000,450383.0000,443539.0000,449862.0000,445102.0000,443710.0000,450022.0000,442898.0000,445363.0000,443229.0000,449190.0000,443619.0000,448057.0000,445162.0000,443089.0000,449721.0000,444541.0000,445884.0000,443329.0000,450312.0000,443780.0000,446044.0000,444250.0000,443149.0000,444772.0000,442988.0000,443930.0000,443459.0000,450272.0000,443379.0000,445854.0000,443679.0000,444110.0000,449932.0000,443659.0000,445914.0000,443810.0000,450493.0000,443730.0000,445042.0000,443249.0000,442778.0000,444872.0000,443209.0000,444040.0000,444231.0000,450563.0000"
building command- and instruction graphs in a dedicated scheduler thread for N nodes - 1 > reference: throttled single-threaded graph generation at 10 us per task,contracting tree topology,100,1,47904300,469149.9500,468599.9500,469776.9000,2974.0158,2642.8634,3308.0247,"benchmark,group:scheduler","471673.0000,466413.0000,476572.0000,467114.0000,467846.0000,466914.0000,467875.0000,466904.0000,474779.0000,467605.0000,474598.0000,467966.0000,473526.0000,467705.0000,473295.0000,467706.0000,467635.0000,467615.0000,467134.0000,474699.0000,468236.0000,469729.0000,467685.0000,473396.0000,467936.0000,469569.0000,468076.0000,473636.0000,466413.0000,473276.0000,467545.0000,467595.0000,467515.0000,466433.0000,473476.0000,466573.0000,473136.0000,467545.0000,469358.0000,467565.0000,467755.0000,467795.0000,469569.0000,467264.0000,471492.0000,467996.0000,473967.0000,467695.0000,472805.0000,467525.0000,466483.0000,467846.0000,466783.0000,471613.0000,467014.0000,476151.0000,466503.0000,468547.0000,466814.0000,473225.0000,466564.0000,474478.0000,467124.0000,467284.0000,466713.0000,465621.0000,474428.0000,466433.0000,473627.0000,466853.0000,472986.0000,467615.0000,472985.0000,466663.0000,470821.0000,466924.0000,474397.0000,467043.0000,474287.0000,466784.0000,467385.0000,466683.0000,466313.0000,467214.0000,466062.0000,470050.0000,466774.0000,467985.0000,466643.0000,472504.0000,466784.0000,471883.0000,467154.0000,469298.0000,466643.0000,474328.0000,467224.0000,465882.0000,466743.0000,466704.0000"
building command- and instruction graphs in a dedicated scheduler thread for N nodes - 1 > reference: throttled single-threaded graph generation at 10 us per task,wave_sim topology,100,1,285578900,2961616.2600,2950212.2400,2970748.1000,51926.5849,43318.7909,59488.2958,"benchmark,group:scheduler","2983788.0000,2988767.0000,3029634.0000,2998676.0000,2996171.0000,2984399.0000,2999557.0000,2987344.0000,2983337.0000,2984679.0000,2986312.0000,2984650.0000,2984919.0000,2984408.0000,2986242.0000,2985520.0000,2985170.0000,2985621.0000,2986593.0000,2984258.0000,2987214.0000,2983096.0000,2986062.0000,2984198.0000,2985040.0000,2986964.0000,2984108.0000,2981614.0000,2987033.0000,2988035.0000,3016149.0000,2997213.0000,2985160.0000,2985701.0000,2984769.0000,2986423.0000,2985010.0000,2984599.0000,2985842.0000,2999988.0000,2984769.0000,2986212.0000,2984789.0000,2984329.0000,2986362.0000,2984539.0000,2985380.0000,2985221.0000,2986462.0000,2983878.0000,2996933.0000,2984829.0000,2984489.0000,2986473.0000,2981413.0000,2984659.0000,2988066.0000,2983527.0000,2983557.0000,2905840.0000,2850675.0000,2843201.0000,2849243.0000,2852939.0000,2848681.0000,2852269.0000,2850074.0000,2917972.0000,2981453.0000,2900860.0000,2858941.0000,2849633.0000,2854462.0000,2853401.0000,2850374.0000,2847920.0000,2843091.0000,2868409.0000,2996161.0000,2983236.0000,2985591.0000,2957808.0000,2857027.0000,2853310.0000,2990811.0000,2983678.0000,2984018.0000,2989037.0000,2982606.0000,2986543.0000,2987314.0000,2984529.0000,2984629.0000,2982716.0000,2985681.0000,2988747.0000,2981563.0000,2984899.0000,2989098.0000,2983036.0000"
building command- and instruction graphs in a dedicated scheduler thread for N nodes - 1 > reference: throttled single-threaded graph generation at 10 us per task,jacobi topology,100,1,80338700,802762.9100,802015.1500,804131.1600,5014.8171,3166.5874,8844.7311,"benchmark,group:scheduler","800977.0000,798503.0000,813401.0000,801047.0000,804944.0000,800497.0000,802580.0000,808021.0000,801248.0000,805055.0000,800126.0000,800266.0000,800446.0000,804944.0000,800496.0000,800056.0000,806017.0000,800646.0000,805345.0000,800978.0000,799344.0000,800336.0000,804023.0000,800567.0000,804314.0000,799073.0000,804454.0000,804694.0000,800907.0000,805847.0000,799104.0000,803482.0000,801408.0000,803913.0000,800787.0000,800557.0000,804945.0000,802951.0000,809083.0000,837646.0000,799745.0000,799634.0000,798913.0000,805977.0000,800396.0000,805966.0000,798323.0000,803311.0000,806838.0000,800196.0000,805245.0000,800347.0000,801378.0000,800286.0000,805235.0000,800947.0000,799544.0000,804604.0000,800236.0000,806107.0000,800647.0000,799053.0000,799254.0000,808952.0000,799705.0000,803993.0000,798733.0000,803342.0000,799765.0000,804934.0000,799846.0000,799284.0000,799645.0000,805095.0000,800456.0000,804884.0000,800016.0000,800997.0000,799375.0000,807620.0000,805385.0000,798612.0000,805345.0000,823029.0000,798582.0000,799575.0000,798723.0000,804484.0000,799664.0000,800487.0000,804193.0000,799675.0000,801168.0000,804514.0000,801268.0000,800056.0000,799675.0000,805726.0000,799865.0000,804413.0000"
building command- and instruction graphs in a dedicated scheduler thread for N nodes - 1 > throttled submission to a scheduler thread at 10 us per task,soup topology,100,1,389261000,3855979.8600,3836720.8700,3916786.6100,158101.6624,49576.4224,356619.7219,"benchmark,group:scheduler","3856222.0000,3844520.0000,3845292.0000,3831976.0000,3832026.0000,3833710.0000,3860350.0000,3833950.0000,3860210.0000,3892191.0000,3832798.0000,3866141.0000,3833589.0000,3833799.0000,3841855.0000,3818611.0000,3824482.0000,3827217.0000,3854519.0000,5314889.0000,4003712.0000,3804705.0000,3833068.0000,3831014.0000,3834411.0000,3831656.0000,3837116.0000,3827288.0000,3863676.0000,3830915.0000,3891118.0000,3831666.0000,3891199.0000,3830724.0000,3864458.0000,3830043.0000,3892261.0000,3830694.0000,3834291.0000,3859408.0000,3862885.0000,3891339.0000,3831255.0000,3891439.0000,3861271.0000,3830523.0000,3860541.0000,3861502.0000,3891970.0000,3831525.0000,3853708.0000,3817869.0000,3844420.0000,3912328.0000,3409935.0000,3568727.0000,3814332.0000,3883754.0000,3831646.0000,3833469.0000,3861002.0000,3891659.0000,3832186.0000,3801449.0000,3834110.0000,3831836.0000,3833859.0000,3830643.0000,3802941.0000,3806728.0000,3832196.0000,3829351.0000,3887682.0000,3831205.0000,3838459.0000,3854990.0000,3891669.0000,3832016.0000,3835583.0000,3858637.0000,3834702.0000,3829471.0000,3833609.0000,3860821.0000,3892121.0000,3859619.0000,3834842.0000,3829481.0000,3833038.0000,3892621.0000,3831566.0000,3891660.0000,3831205.0000,3832898.0000,3833860.0000,3890638.0000,3830423.0000,3892271.0000,3836705.0000,3832026.0000"
building command- and instruction graphs in a dedicated scheduler thread for N nodes - 1 > throttled submission to a scheduler thread at 10 us per task,chain topology,100,1,39375800,403716.2300,399830.0000,407736.8400,20220.9527,18178.5917,22340.6212,"benchmark,group:scheduler","435404.0000,406529.0000,376853.0000,400618.0000,377294.0000,406499.0000,434873.0000,406730.0000,377494.0000,377213.0000,377514.0000,406249.0000,377494.0000,375010.0000,377253.0000,377223.0000,406559.0000,435474.0000,377694.0000,405968.0000,406659.0000,406408.0000,435163.0000,406609.0000,377333.0000,377224.0000,436125.0000,405688.0000,406519.0000,406820.0000,405948.0000,406629.0000,406369.0000,406409.0000,377594.0000,440112.0000,401610.0000,435535.0000,377514.0000,406449.0000,382443.0000,430084.0000,406680.0000,406439.0000,377384.0000,406298.0000,406318.0000,406529.0000,406388.0000,406198.0000,436005.0000,405858.0000,377404.0000,406549.0000,377504.0000,377684.0000,405828.0000,435574.0000,406589.0000,435524.0000,406278.0000,435363.0000,440634.0000,372254.0000,406129.0000,406850.0000,377524.0000,406339.0000,406299.0000,406198.0000,378136.0000,434802.0000,411177.0000,430795.0000,377434.0000,435925.0000,405617.0000,406930.0000,377494.0000,377094.0000,435113.0000,435695.0000,406539.0000,377554.0000,406068.0000,406660.0000,406339.0000,435303.0000,377484.0000,406489.0000,377444.0000,406098.0000,406770.0000,377294.0000,406338.0000,435434.0000,406520.0000,406609.0000,406349.0000,406309.0000"
building command- and instruction graphs in a dedicated scheduler thread for N nodes - 1 > throttled submission to a scheduler thread at 10 us per task,expanding tree topology,100,1,42730500,447475.8400,444713.4800,450431.8800,14662.0006,13997.8795,15456.6858,"benchmark,group:scheduler","464970.0000,435194.0000,477734.0000,434262.0000,464599.0000,435484.0000,439402.0000,431336.0000,435123.0000,464940.0000,435525.0000,464609.0000,434853.0000,464679.0000,435344.0000,464640.0000,435694.0000,435024.0000,464419.0000,436075.0000,463968.0000,435745.0000,464499.0000,435213.0000,464749.0000,435144.0000,435334.0000,464739.0000,435334.0000,464720.0000,435023.0000,464619.0000,435725.0000,464279.0000,435634.0000,439131.0000,431416.0000,435163.0000,465351.0000,435624.0000,464359.0000,434883.0000,464770.0000,435243.0000,440774.0000,429823.0000,436166.0000,463968.0000,435724.0000,464429.0000,435224.0000,464429.0000,464519.0000,464710.0000,435484.0000,435444.0000,464609.0000,435134.0000,464870.0000,435243.0000,465111.0000,434572.0000,464980.0000,435354.0000,435444.0000,464349.0000,435554.0000,464970.0000,435084.0000,464208.0000,435685.0000,464419.0000,435414.0000,440754.0000,430685.0000,435114.0000,464048.0000,435664.0000,464559.0000,435484.0000,464178.0000,435284.0000,440774.0000,430505.0000,435554.0000,464469.0000,435184.0000,464549.0000,435514.0000,464369.0000,435344.0000,465070.0000,434893.0000,435805.0000,464239.0000,435554.0000,464389.0000,435735.0000,464729.0000,434873.0000"
building command- and instruction graphs in a dedicated scheduler thread for N nodes - 1 > throttled submission to a scheduler thread at 10 us per task,contracting tree topology,100,1,66193500,655992.2800,652596.8300,659599.4800,17767.9358,16094.9972,20177.0361,"benchmark,group:scheduler","669608.0000,637047.0000,679937.0000,667313.0000,668926.0000,695146.0000,668045.0000,666793.0000,668737.0000,696679.0000,667475.0000,667223.0000,668486.0000,668345.0000,666533.0000,667374.0000,668666.0000,696489.0000,667273.0000,638540.0000,668776.0000,695858.0000,668416.0000,667004.0000,668386.0000,667885.0000,666312.0000,639180.0000,668085.0000,667814.0000,666753.0000,639361.0000,668045.0000,696750.0000,668356.0000,666152.0000,668716.0000,667825.0000,666683.0000,628239.0000,676701.0000,644992.0000,647536.0000,647416.0000,652977.0000,648558.0000,639191.0000,629001.0000,646264.0000,642186.0000,642447.0000,675710.0000,639030.0000,638599.0000,668897.0000,666883.0000,638600.0000,638449.0000,667614.0000,639140.0000,638649.0000,638138.0000,668476.0000,668676.0000,636775.0000,638939.0000,641775.0000,636315.0000,639201.0000,637427.0000,638679.0000,669208.0000,637948.0000,638359.0000,638429.0000,667995.0000,668136.0000,638068.0000,638409.0000,668366.0000,638950.0000,638209.0000,638249.0000,640583.0000,637217.0000,638800.0000,638419.0000,638399.0000,698382.0000,637637.0000,638219.0000,638840.0000,667544.0000,668186.0000,641274.0000,637618.0000,666302.0000,672664.0000,637747.0000,638599.0000"
building command- and instruction graphs in a dedicated scheduler thread for N nodes - 1 > throttled submission to a scheduler thread at 10 us per task,wave_sim topology,100,1,260620100,2584967.6400,2579350.7600,2588325.2800,21675.6871,14406.7117,32397.8758,"benchmark,group:scheduler","2584110.0000,2583959.0000,2581695.0000,2583819.0000,2583638.0000,2583388.0000,2584450.0000,2583849.0000,2590642.0000,2577477.0000,2584520.0000,2583989.0000,2583539.0000,2584750.0000,2583388.0000,2583698.0000,2613805.0000,2584080.0000,2583127.0000,2482597.0000,2470274.0000,2480513.0000,2557239.0000,2613104.0000,2584450.0000,2583308.0000,2583969.0000,2583989.0000,2584300.0000,2583989.0000,2583879.0000,2613706.0000,2612794.0000,2584250.0000,2581504.0000,2583909.0000,2583728.0000,2584060.0000,2584159.0000,2583629.0000,2608636.0000,2584470.0000,2583789.0000,2583509.0000,2584390.0000,2583718.0000,2584680.0000,2583058.0000,2584490.0000,2583588.0000,2584620.0000,2583568.0000,2584571.0000,2613094.0000,2583969.0000,2586804.0000,2581615.0000,2581044.0000,2590101.0000,2580773.0000,2583728.0000,2584129.0000,2583689.0000,2584761.0000,2583969.0000,2598497.0000,2603276.0000,2579120.0000,2601182.0000,2612884.0000,2584259.0000,2584009.0000,2583598.0000,2584279.0000,2583799.0000,2588919.0000,2608185.0000,2579641.0000,2588798.0000,2583628.0000,2617032.0000,2606723.0000,2584370.0000,2583688.0000,2613415.0000,2583639.0000,2584901.0000,2583048.0000,2584219.0000,2583869.0000,2584290.0000,2584040.0000,2612874.0000,2584881.0000,2583648.0000,2612744.0000,2584080.0000,2612914.0000,2584290.0000,2583989.0000"
building command- and instruction graphs in a dedicated scheduler thread for N nodes - 1 > throttled submission to a scheduler thread at 10 us per task,jacobi topology,100,1,81761400,845705.5300,842458.1000,849020.9100,16653.1442,14700.0568,18976.3181,"benchmark,group:scheduler","873395.0000,811707.0000,854479.0000,820785.0000,803171.0000,821216.0000,826676.0000,818030.0000,813551.0000,821196.0000,823801.0000,824512.0000,856613.0000,855040.0000,850060.0000,824672.0000,825423.0000,839871.0000,851423.0000,824962.0000,829291.0000,820103.0000,853147.0000,870809.0000,840442.0000,840081.0000,872133.0000,874166.0000,808311.0000,842196.0000,841724.0000,869257.0000,872173.0000,840081.0000,842096.0000,839861.0000,868686.0000,871200.0000,841545.0000,841263.0000,841966.0000,842025.0000,842135.0000,842046.0000,841744.0000,871301.0000,871852.0000,840893.0000,841995.0000,871551.0000,841494.0000,870970.0000,842205.0000,842395.0000,870769.0000,841174.0000,871250.0000,841694.0000,842055.0000,843619.0000,869307.0000,870789.0000,841936.0000,841865.0000,842255.0000,841855.0000,871411.0000,844580.0000,838499.0000,871060.0000,841995.0000,842226.0000,842135.0000,870590.0000,841714.0000,871891.0000,841084.0000,841865.0000,841895.0000,872312.0000,870118.0000,841524.0000,841475.0000,842105.0000,842085.0000,841976.0000,842596.0000,869728.0000,843147.0000,841304.0000,841955.0000,842055.0000,841675.0000,843909.0000,840181.0000,841996.0000,842205.0000,840974.0000,842486.0000,841514.0000"
building command- and instruction graphs in a dedicated scheduler thread for N nodes - 4 > reference: single-threaded immediate graph generation,soup topology,100,1,198841700,1684744.2800,1667128.3500,1710194.1400,106879.5088,80907.0473,132452.4930,"benchmark,group:scheduler","1643255.0000,1640560.0000,1988099.0000,1990674.0000,1986195.0000,1991545.0000,1976046.0000,1982479.0000,1984983.0000,1981817.0000,1984202.0000,1982278.0000,2011473.0000,1712436.0000,1633005.0000,1646231.0000,1646211.0000,1642814.0000,1652653.0000,1650058.0000,1636221.0000,1647282.0000,1655959.0000,1641662.0000,1643746.0000,1650409.0000,1642694.0000,1649877.0000,1655297.0000,1643145.0000,1653094.0000,1641091.0000,1650338.0000,1647092.0000,1641471.0000,1650578.0000,1653694.0000,1639799.0000,1640710.0000,1646331.0000,1638396.0000,1652041.0000,1645649.0000,1645529.0000,1650268.0000,1643806.0000,1644096.0000,1651039.0000,1643606.0000,1649467.0000,1646220.0000,1643365.0000,1644667.0000,1645418.0000,1645809.0000,1648254.0000,1654627.0000,1675506.0000,1648605.0000,1648655.0000,1640931.0000,1654086.0000,1644166.0000,1639036.0000,1644116.0000,1699332.0000,1642092.0000,1643465.0000,1638596.0000,1647633.0000,1649496.0000,1643285.0000,1644156.0000,1653354.0000,1637924.0000,1647222.0000,1646160.0000,1644176.0000,1646281.0000,1646371.0000,1642744.0000,1646040.0000,1646420.0000,1642493.0000,1649587.0000,1631924.0000,1650569.0000,1648334.0000,1637243.0000,1665267.0000,1645038.0000,1634509.0000,1642774.0000,1643616.0000,1649947.0000,1649247.0000,1643335.0000,1639267.0000,1646290.0000,1645379.0000"
building command- and instruction graphs in a dedicated scheduler thread for N nodes - 4 > reference: single-threaded immediate graph generation,chain topology,100,1,35410200,329034.9100,324947.2100,333579.4200,21949.3022,20083.4467,23287.2266,"benchmark,group:scheduler","357416.0000,357717.0000,319114.0000,311759.0000,318563.0000,311429.0000,310948.0000,310046.0000,317330.0000,310828.0000,310777.0000,316568.0000,309596.0000,310317.0000,322349.0000,309746.0000,310136.0000,317870.0000,309575.0000,310738.0000,316638.0000,311178.0000,310146.0000,311468.0000,318552.0000,310517.0000,309525.0000,317460.0000,310757.0000,310907.0000,318823.0000,311990.0000,310938.0000,317680.0000,311700.0000,310917.0000,318522.0000,312110.0000,312010.0000,312141.0000,322409.0000,312371.0000,311519.0000,318993.0000,312440.0000,312421.0000,318773.0000,312300.0000,311408.0000,317961.0000,312641.0000,312000.0000,317821.0000,312551.0000,311940.0000,318993.0000,312742.0000,311449.0000,311068.0000,317571.0000,311258.0000,311409.0000,320466.0000,310577.0000,310907.0000,318021.0000,312020.0000,310818.0000,333621.0000,358268.0000,358348.0000,365000.0000,358759.0000,357867.0000,364449.0000,357476.0000,357877.0000,363838.0000,357677.0000,363397.0000,357626.0000,356895.0000,363798.0000,357847.0000,357887.0000,364749.0000,358127.0000,357075.0000,363387.0000,358228.0000,365120.0000,357095.0000,357526.0000,363528.0000,358729.0000,356664.0000,363587.0000,356815.0000,356695.0000,363888.0000"
building command- and instruction graphs in a dedicated scheduler thread for N nodes - 4 > reference: single-threaded immediate graph generation,expanding tree topology,100,1,33371800,366841.1400,362680.2400,370383.7800,19557.4414,17131.2129,21542.5145,"benchmark,group:scheduler","334382.0000,332669.0000,388244.0000,376893.0000,382603.0000,376121.0000,375020.0000,382664.0000,376251.0000,381962.0000,376793.0000,375210.0000,382373.0000,374809.0000,377023.0000,382514.0000,376071.0000,382965.0000,376913.0000,374559.0000,382924.0000,377114.0000,376382.0000,383886.0000,375571.0000,382764.0000,374599.0000,375620.0000,382294.0000,376402.0000,375801.0000,382524.0000,374468.0000,381983.0000,377384.0000,375640.0000,382092.0000,376692.0000,377504.0000,382894.0000,375440.0000,381682.0000,376172.0000,375280.0000,383115.0000,376071.0000,381050.0000,375841.0000,374969.0000,382323.0000,374439.0000,375250.0000,381331.0000,374819.0000,380981.0000,375300.0000,375320.0000,383987.0000,375791.0000,375340.0000,381882.0000,375360.0000,381972.0000,375721.0000,373858.0000,381521.0000,374989.0000,374178.0000,381532.0000,374869.0000,380019.0000,374318.0000,374268.0000,381312.0000,374859.0000,375701.0000,355793.0000,331447.0000,330264.0000,338169.0000,331998.0000,329733.0000,339832.0000,331397.0000,330776.0000,338450.0000,330866.0000,330174.0000,337428.0000,331908.0000,332289.0000,340483.0000,330655.0000,330034.0000,339181.0000,330264.0000,330676.0000,341285.0000,331737.0000,337838.0000"
building command- and instruction graphs in a dedicated scheduler thread for N nodes - 4 > reference: single-threaded immediate graph generation,contracting tree topology,100,1,40404800,407609.1000,406886.4000,408420.9100,3885.0081,3522.1905,4844.6517,"benchmark,group:scheduler","412461.0000,404014.0000,422149.0000,404566.0000,411458.0000,403995.0000,405287.0000,410998.0000,405627.0000,410397.0000,404145.0000,404004.0000,411729.0000,404185.0000,409976.0000,404205.0000,405798.0000,411769.0000,404135.0000,414334.0000,404896.0000,403263.0000,411709.0000,403714.0000,413162.0000,404776.0000,404946.0000,412600.0000,403985.0000,409865.0000,404536.0000,411118.0000,405076.0000,404986.0000,413602.0000,404866.0000,412560.0000,404034.0000,403854.0000,412381.0000,404565.0000,415356.0000,404646.0000,403664.0000,410346.0000,405307.0000,411830.0000,404796.0000,403934.0000,411188.0000,404025.0000,412200.0000,404726.0000,406178.0000,410277.0000,403193.0000,413302.0000,403293.0000,410437.0000,403674.0000,404635.0000,411077.0000,404666.0000,410407.0000,404736.0000,405567.0000,412150.0000,404996.0000,412079.0000,404466.0000,403834.0000,410447.0000,405617.0000,412130.0000,405227.0000,405427.0000,411299.0000,404525.0000,411799.0000,404946.0000,411478.0000,406820.0000,404045.0000,411438.0000,405927.0000,410075.0000,404455.0000,405387.0000,411308.0000,405206.0000,412100.0000,404415.0000,405617.0000,412961.0000,403513.0000,410817.0000,404835.0000,403573.0000,411329.0000,403483.0000"
building command- and instruction graphs in a dedicated scheduler thread for N nodes - 4 > reference: single-threaded immediate graph generation,wave_sim topology,100,1,165549500,1833769.3500,1803097.9200,1863155.7900,151999.9965,143324.5381,155962.5919,"benchmark,group:scheduler","1653033.0000,1645118.0000,2022855.0000,1973071.0000,1960767.0000,1957992.0000,1956720.0000,1959124.0000,1965807.0000,1951930.0000,1946550.0000,1951439.0000,1949626.0000,1957000.0000,1952131.0000,1958653.0000,1961759.0000,1959525.0000,1957020.0000,1960206.0000,1954806.0000,1952101.0000,1956769.0000,1954024.0000,1957721.0000,1966117.0000,1961559.0000,1952872.0000,1959665.0000,1964465.0000,1978931.0000,1953915.0000,1956529.0000,1945578.0000,1952562.0000,1950949.0000,1956068.0000,1959124.0000,1952662.0000,1957000.0000,1955467.0000,1957481.0000,1956228.0000,1957531.0000,1958904.0000,1957471.0000,1958293.0000,1961138.0000,1960006.0000,1963482.0000,1953594.0000,1958002.0000,1958423.0000,1955367.0000,1952661.0000,1951980.0000,1953403.0000,1958503.0000,1955157.0000,1956760.0000,1957160.0000,1915582.0000,1653644.0000,1646131.0000,1643155.0000,1646551.0000,1650138.0000,1652102.0000,1647663.0000,1649948.0000,1655398.0000,1654877.0000,1638195.0000,1646470.0000,1645689.0000,1641191.0000,1654145.0000,1648164.0000,1640078.0000,1648605.0000,1645870.0000,1641862.0000,1645589.0000,1640479.0000,1652383.0000,1668653.0000,1646742.0000,1648575.0000,1651771.0000,1640550.0000,1652532.0000,1648364.0000,1642764.0000,1647012.0000,1646501.0000,1647553.0000,1652242.0000,1643165.0000,1646491.0000,1649357.0000"
building command- and instruction graphs in a dedicated scheduler thread for N nodes - 4 > reference: single-threaded immediate graph generation,jacobi topology,100,1,64508400,543141.2100,542096.3300,544195.7500,5358.4787,4809.3370,6062.0361,"benchmark,group:scheduler","540363.0000,551113.0000,550342.0000,534642.0000,544330.0000,549610.0000,540163.0000,540864.0000,535454.0000,540002.0000,532027.0000,541415.0000,530614.0000,545723.0000,539581.0000,549140.0000,538750.0000,547757.0000,548779.0000,538750.0000,539993.0000,533279.0000,539170.0000,541835.0000,547958.0000,541195.0000,547206.0000,536265.0000,540864.0000,549861.0000,540794.0000,540473.0000,537948.0000,537648.0000,532648.0000,542537.0000,535093.0000,541084.0000,534663.0000,547216.0000,540393.0000,548989.0000,547656.0000,541505.0000,552446.0000,541715.0000,541505.0000,535985.0000,555371.0000,540844.0000,545503.0000,536436.0000,539952.0000,543018.0000,536165.0000,545001.0000,544561.0000,550612.0000,539802.0000,550232.0000,542016.0000,549129.0000,544341.0000,548098.0000,548208.0000,543108.0000,550001.0000,542057.0000,549250.0000,540573.0000,549280.0000,543680.0000,550272.0000,542637.0000,555221.0000,549050.0000,540253.0000,549150.0000,539972.0000,545804.0000,539761.0000,546063.0000,540002.0000,547887.0000,538930.0000,547036.0000,549099.0000,541465.0000,550943.0000,541696.0000,545833.0000,536827.0000,540413.0000,534081.0000,545152.0000,541035.0000,543890.0000,539651.0000,549871.0000,547546.0000"
